Nova Scotia
62
Nova Scotia,Cumberland North,Cumberland North,Judi Giroux,Judi Giroux,Progressive Conservative Association of Nova Scotia,2212
Nova Scotia,Cumberland North,Cumberland North,Jason M. Blanch,Jason M. Blanch,Green Party of Nova Scotia,279
Nova Scotia,Cumberland South,Cumberland South,Kenny John Jackson,Kenny John Jackson,Nova Scotia Liberal Party,2884
Nova Scotia,Cumberland South,Cumberland South,Larry M. Duchesne,Larry M. Duchesne,Nova Scotia New Democratic Party,486
Nova Scotia,Cumberland South,Cumberland South,Jamie Baillie,Jamie Baillie,Progressive Conservative Association of Nova Scotia,3655
Nova Scotia,Cumberland South,Cumberland South,Bruce W. McCulloch,Bruce W. McCulloch,Green Party of Nova Scotia,147
Nova Scotia,Dartmouth East,Dartmouth East,Andrew Younger,Andrew Younger,Nova Scotia Liberal Party,5469
Nova Scotia,Dartmouth East,Dartmouth East,Deborah M. Stover,Deborah M. Stover,Nova Scotia New Democratic Party,1929
Nova Scotia,Dartmouth East,Dartmouth East,Mike E. MacDonell,Mike E. MacDonell,Progressive Conservative Association of Nova Scotia,1167
Nova Scotia,Dartmouth North,Dartmouth North,Joanne Bernard,Joanne Bernard,Nova Scotia Liberal Party,2953
Nova Scotia,Dartmouth North,Dartmouth North,Steve Estey,Steve Estey,Nova Scotia New Democratic Party,2020
Nova Scotia,Dartmouth North,Dartmouth North,Séan G. Brownlow,Séan G. Brownlow,Progressive Conservative Association of Nova Scotia,1729
Nova Scotia,Preston-Dartmouth,Preston-Dartmouth,Keith Colwell,Keith Colwell,Nova Scotia Liberal Party,3326
Nova Scotia,Preston-Dartmouth,Preston-Dartmouth,André Cain,André Cain,Nova Scotia New Democratic Party,1816
Nova Scotia,Preston-Dartmouth,Preston-Dartmouth,Andrew J. Mecke,Andrew J. Mecke,Progressive Conservative Association of Nova Scotia,554
Nova Scotia,Dartmouth South,Dartmouth South,Allan Rowe,Allan Rowe,Nova Scotia Liberal Party,4049
Nova Scotia,Dartmouth South,Dartmouth South,Mary Vingoe,Mary Vingoe,Nova Scotia New Democratic Party,2918
Nova Scotia,Dartmouth South,Dartmouth South,Gord W. Gamble,Gord W. Gamble,Progressive Conservative Association of Nova Scotia,1612
Nova Scotia,Dartmouth South,Dartmouth South,James Anthony (Jim) Murray,James Anthony (Jim) Murray,Independent,178
Nova Scotia,Guysborough-Eastern Shore-Tracadie,Guysborough-Eastern Shore-Tracadie,Lloyd Hines,Lloyd Hines,Nova Scotia Liberal Party,2876
Nova Scotia,Guysborough-Eastern Shore-Tracadie,Guysborough-Eastern Shore-Tracadie,Jim Boudreau,Jim Boudreau,Nova Scotia New Democratic Party,2367
Nova Scotia,Guysborough-Eastern Shore-Tracadie,Guysborough-Eastern Shore-Tracadie,Neil F. DeCoff,Neil F. DeCoff,Progressive Conservative Association of Nova Scotia,1947
Nova Scotia,Eastern Shore,Eastern Shore,Kevin Murphy,Kevin Murphy,Nova Scotia Liberal Party,3770
Nova Scotia,Eastern Shore,Eastern Shore,Sid Prest,Sid Prest,Nova Scotia New Democratic Party,1922
Nova Scotia,Eastern Shore,Eastern Shore,Steve Brine,Steve Brine,Progressive Conservative Association of Nova Scotia,1423
