ETOBICOKE CENTRE,4460,22070,49.41,L,DONNA CANSFIELD

,,17610,39.43,PC,ROSE ANDRACHUK

,,3400,7.61,ND,MARGARET ANNE MCHUGH

,,1584,3.55,GP,RALPH M. CHAPMAN






ETOBICOKE-LAKESHORE,5156,19680,44.16,L,LAUREL BROTEN

,,14524,32.59,PC,*MORLEY KELLS

,,8952,20.09,ND,IRENE JONES

,,708,1.59,GP,JUNYEE WANG

,,480,1.08,FCP,TED KUPIEC

,,225,0.5,IND,JANICE MURRAY






ETOBICOKE NORTH,9749,16727,53.98,L,SHAFIQ QAADRI

,,6978,22.52,PC,BALJIT GOSAL

,,3516,11.35,ND,KULDIP SINGH SODHI

,,1990,6.42,IND,FRANK ACRI

,,1275,4.11,FCP,TERESA CEOLIN

,,503,1.62,GP,MIR KAMAL






GLENGARRY-PRESCOTT-RUSSELL,18035,28956,65.97,L,*JEAN-MARC LALONDE

,,10921,24.88,PC,ALBERT BOURDEAU

,,2544,5.8,ND,GUY BELLE-ISLE

,,1471,3.35,GP,LOUISE PATTINGTON






OTTAWA-ORLêANS,4538,25300,50.36,L,PHIL MCNEELY

,,20762,41.32,PC,*BRIAN COBURN

,,2778,5.53,ND,RIC DAGENAIS

,,1402,2.79,GP,MELANIE RANSOM






GUELPH-WELLINGTON,2872,23607,42.22,L,LIZ SANDALS

,,20735,37.08,PC,*BRENDA ELLIOTT

,,6745,12.06,ND,JAMES VALCKE

,,3917,7,GP,BEN POLLEY

,,914,1.63,FCP,ALAN JOHN MCDONALD






HALDIMAND-NORFOLK-BRANT,2958,20109,46.1,PC,*TOBY BARRETT

,,17151,39.32,L,ROB ESSELMENT

,,4720,10.82,ND,PRUE STEINER

,,1088,2.49,GP,GRAEME DUNN

,,548,1.26,FCP,BARRA L. GOTS






HALTON,5498,33610,48.2,PC,*TED CHUDLEIGH

,,28112,40.32,L,BARBARA SULLIVAN

,,5587,8.01,ND,JAY JACKSON

,,1295,1.86,GP,MATTHEW RAYMOND SMITH

,,1123,1.61,FCP,GIUSEPPE GORI






HAMILTON EAST,6980,16015,52.15,L,*DOMINIC AGOSTINO

,,9035,29.42,ND,BOB SUTTON

,,4033,13.13,PC,SOHAIL BHATTI

,,563,1.83,GP,RAYMOND DARTSCH

,,380,1.24,C,BOB MANN

,,378,1.23,IND,KELLY GREENAWAY

,,304,0.99,FCP,MICHAEL IZZOTTI






HAMILTON MOUNTAIN,11507,23524,51.79,L,*MARIE BOUNTROGIANNI

,,12017,26.46,ND,CHRIS CHARLTON

,,8637,19.02,PC,SHAKIL HASSAN

,,748,1.65,FCP,ELEANOR JOHNSON

,,494,1.09,GP,SELWYN INNISS






HAMILTON WEST,2132,15600,39.97,L,JUDY MARSALES

,,13468,34.5,ND,ROY ADAMS

,,8185,20.97,PC,DOUG BROWN

,,750,1.92,FCP,LYNNE SCIME

,,727,1.86,GP,JO PAVLOV

,,303,0.78,IND,JAMILA GHADDAR






HASTINGS-FRONTENAC-LENNOX AND ADDINGTON,7839,21548,51.89,L,*LEONA DOMBROWSKY

,,13709,33.01,PC,BARRY F. GORDON

,,4286,10.32,ND,ROSS SUTHERLAND

,,1311,3.16,GP,ADAM SCOTT

,,673,1.62,FCP,JOHN-HENRY WESTEN






HURON-BRUCE,3285,19879,45.79,L,CAROL MITCHELL

,,16594,38.23,PC,*HELEN JOHNS

,,4973,11.46,ND,GRANT I. ROBERTSON

,,934,2.15,GP,SHELLEY HANNAH

,,902,2.08,FCP,DAVE JOSLIN

,,127,0.29,FR,ROBERT SABHARWAL






KENORA-RAINY RIVER,8920,15666,60.12,ND,*HOWARD HAMPTON

,,6746,25.89,L,GEOFF MCCLAIN

,,3343,12.83,PC,CATHE M. HOSZOWSKI

,,305,1.17,GP,DAN KING






CHATHAM-KENT ESSEX,11436,23022,59.26,L,*PAT HOY

,,11586,29.82,PC,DAVE WILKINSON

,,2893,7.45,ND,DERRY MCKEEVER

,,1069,2.75,GP,JIM BURGESS

,,281,0.72,FR,DAVID RODMAN






KINGSTON AND THE ISLANDS,19237,28877,60.28,L,*JOHN GERRETSEN

,,9640,20.12,PC,HANS WESTENBERG

,,5514,11.51,ND,JANET C. COLLINS

,,3137,6.55,GP,ERIC B. WALTON

,,735,1.53,FCP,CHRIS K. BENETEAU






KITCHENER CENTRE,2160,18280,42.6,L,JOHN MILLOY

,,16120,37.57,PC,*WAYNE WETTLAUFER

,,6781,15.8,ND,TED MARTIN

,,1728,4.03,GP,LUIGI D'AGNILLO






KITCHENER-WATERLOO,1501,23957,43.08,PC,*ELIZABETH WITMER

,,22456,40.38,L,SEAN STRICKLAND

,,6084,10.94,ND,DAN LAJOIE

,,1774,3.19,GP,PAULINE RICHARDS

,,949,1.71,FCP,LOU REITZEL

,,242,0.44,IND,OWEN ALASTAIR FERGUSON

,,153,0.28,IND,JULIAN ICHIM






LAMBTON-KENT-MIDDLESEX,3473,18533,45.11,L,MARIA VAN BOMMEL

,,15060,36.66,PC,*MARCEL BEAUBIEN

,,4523,11.01,ND,JOYCE JOLLIFFE

,,1133,2.76,GP,TIM VAN BODEGOM

,,1053,2.56,IND,JAMES ARMSTRONG

,,780,1.9,FR,WAYNE FORBES






LANARK-CARLETON,6175,29641,48.99,PC,*NORM STERLING

,,23466,38.79,L,MARIANNE WILKINSON

,,3554,5.87,ND,JIM RONSON

,,2564,4.24,GP,JOHN BARANYI

,,1275,2.11,FCP,JIM GARDINER






LEEDS-GRENVILLE,3776,21443,48.7,PC,*BOB RUNCIMAN

,,17667,40.13,L,STEPHEN MAZUREK

,,2469,5.61,ND,STEVE M. ARMSTRONG

,,1799,4.09,GP,JERRY HEATH

,,649,1.47,FCP,MELODY C. TROLLY






LONDON NORTH CENTRE,6752,20212,43.43,L,DEB MATTHEWS

,,13460,28.92,PC,*DIANNE CUNNINGHAM

,,11414,24.53,ND,REBECCA COULTER

,,780,1.68,GP,BRONAGH JOYCE MORGAN

,,432,0.93,FCP,CRAIG SMITH

,,242,0.52,FR,LISA TURNER






LONDON-FANSHAWE,1869,13920,35.87,L,KHALIL RAMAL

,,12051,31.05,ND,IRENE MATHYSSEN

,,11777,30.35,PC,*FRANK MAZZILLI

,,568,1.46,GP,BRYAN SMITH

,,493,1.27,FR,MIKE DAVIDSON






LONDON WEST,10118,25581,51.46,L,CHRIS BENTLEY

,,15463,31.11,PC,*BOB WOOD

,,7403,14.89,ND,PATTI DALTON

,,805,1.62,GP,LAURA WYTHE

,,460,0.93,FR,BILL FRAMPTON






MARKHAM,5996,27253,51.7,L,TONY WONG

,,21257,40.33,PC,*DAVE TSUBOUCHI

,,2679,5.08,ND,JANICE HAGAN

,,824,1.56,GP,BERNADETTE MANNING

,,697,1.32,FCP,PATRICK REDMOND






MISSISSAUGA CENTRE,2620,18466,47.45,L,HARINDER S. TAKHAR

,,15846,40.72,PC,*ROB SAMPSON

,,3237,8.32,ND,MICHAEL MILLER

,,776,1.99,GP,JEFFREY SCOTT SMITH

,,588,1.51,FCP,JOHN R. LYALL






MISSISSAUGA EAST,2854,16686,48.68,L,PETER FONSECA

,,13832,40.35,PC,*CARL DEFARIA

,,2479,7.23,ND,MICHAEL HANCOCK

,,666,1.94,GP,DONALD BARBER

,,358,1.04,FCP,GARY NAIL

,,256,0.75,IND,PIERRE CHêNIER






MISSISSAUGA SOUTH,234,17211,43.8,L,TIM PETERSON

,,16977,43.2,PC,*MARGARET MARLAND

,,3606,9.18,ND,KEN COLE

,,949,2.41,GP,PAMELA MURRAY

,,555,1.41,FCP,ALFRED ZAWADZKI






MISSISSAUGA WEST,7497,27903,50.84,L,BOB DELANEY

,,20406,37.18,PC,NINA TANGRI

,,4196,7.64,ND,ARIF RAZA

,,1395,2.54,GP,RICHARD PEREIRA

,,989,1.8,FCP,CHARLES MONTANO






NEPEAN-CARLETON,10784,31662,54.06,PC,*JOHN BAIRD

,,20878,35.65,L,ROD VANIER

,,3828,6.54,ND,LIAM MCCARTHY

,,2200,3.76,GP,MATT TAKACH






NIAGARA CENTRE,10763,23289,49.64,ND,*PETER KORMOS

,,12526,26.7,L,HENRY D'ANGELA

,,10336,22.03,PC,ANN D. GRONSKI

,,768,1.64,GP,JORDAN MCARTHUR






NIAGARA FALLS,3551,18904,46.86,L,KIM CRAITOR

,,15353,38.06,PC,*BART MAVES

,,4962,12.3,ND,CLAUDE SONIER

,,1124,2.79,GP,RYAN MCLAUGHLIN






NICKEL BELT,2808,16567,46.52,ND,*SHELLEY MARTEL

,,13759,38.64,L,ALEX MCCAULEY

,,4804,13.49,PC,DAVE KILGOUR

,,479,1.35,GP,ROBERT NEVIN






NIPISSING,3025,18003,49.84,L,MONIQUE SMITH

,,14978,41.47,PC,*AL MCDONALD

,,2613,7.23,ND,TERRY O'CONNOR

,,528,1.46,GP,JAIMIE BOARD






NORTHUMBERLAND,2566,20382,45.05,L,LOU RINALDI

,,17816,39.37,PC,*DOUG GALT

,,5210,11.51,ND,MURRAY WEPPLER

,,1839,4.06,GP,DERRICK J. KELLY






OAK RIDGES,2521,32647,47.27,PC,*FRANK KLEES

,,30126,43.62,L,HELENA JACZEK

,,4464,6.46,ND,PAMELA COURTOT

,,1821,2.64,GP,STEVEN HAYLESTROM






OAKVILLE,3437,22428,49.81,L,KEVIN FLYNN

,,18991,42.18,PC,KURT FRANKLIN

,,2858,6.35,ND,ANWAR ABBAS NAQVI

,,751,1.67,FCP,THERESA TRITT






OSHAWA,1019,14566,37.32,PC,*JERRY J. OUELLETTE

,,13547,34.71,ND,SID RYAN

,,9383,24.04,L,CHRIS TOPPLE

,,636,1.63,GP,KAREN TWEEDLE

,,518,1.33,FR,PAUL MCKEEVER

,,383,0.98,FCP,DALE CHILVERS






OTTAWA CENTRE,10933,22295,45.1,L,*RICHARD PATTEN

,,11362,22.98,ND,JEFF ATKINSON

,,11217,22.69,PC,JOE VARNER

,,3821,7.73,GP,CHRIS BRADSHAW

,,306,0.62,C,STUART RYAN

,,218,0.44,FR,MATT SZYMANOWICZ

,,214,0.43,IND,FAKHRY GUIRGUIS






OTTAWA SOUTH,8234,24647,51.7,L,*DALTON MCGUINTY

,,16413,34.43,PC,RICHARD RAYMOND

,,4306,9.03,ND,JAMES MCLAREN

,,1741,3.65,GP,DAVID CHERNUSHENKO

,,562,1.18,FCP,JOHN PACHECO






OTTAWA-VANIER,11310,22188,53.53,L,MADELEINE MEILLEUR

,,10878,26.24,PC,MAURICE LAMIRANDE

,,6507,15.7,ND,JOSEPH ZEBROWSKI

,,1876,4.53,GP,RAPHA?L THIERRIN






OTTAWA WEST-NEPEAN,2850,23127,47.04,L,JIM WATSON

,,20277,41.24,PC,*GARRY GUZZO

,,4099,8.34,ND,MARLENE RIVIER

,,1309,2.66,GP,NEIL ADAIR

,,353,0.72,IND,ROBERT G. GAUTHIER






OXFORD,2521,18656,44.06,PC,*ERNIE HARDEMAN

,,16135,38.1,L,BRIAN BROWN

,,5318,12.56,ND,SHAWN ROUSE

,,838,1.98,GP,TOM MAYBERRY

,,689,1.63,FCP,ANDRE DE DECKER

,,404,0.95,FR,PAUL BLAIR

,,306,0.72,LTN,KAYE SARGENT






PARKDALE-HIGH PARK,16572,23008,57.83,L,*GERARD KENNEDY

,,6436,16.18,PC,STEPHEN SNELL

,,6275,15.77,ND,MARGO DUNCAN

,,2758,6.93,GP,NEIL SPIEGEL

,,591,1.49,FCP,STAN GRZYWNA

,,349,0.88,C,KARIN LARSEN

,,204,0.51,IND,JOHN STEELE

,,165,0.41,FR,DICK FIELD






PARRY SOUND-MUSKOKA,5444,18776,48.51,PC,*NORM MILLER

,,13332,34.44,L,DAN WATERS

,,3838,9.92,ND,JO-ANNE M. BOULDING

,,2277,5.88,GP,GLEN HODGSON

,,484,1.25,FCP,CHARLENE PHINNEY






PERTH-MIDDLESEX,1337,17017,42.71,L,JOHN WILKINSON

,,15680,39.36,PC,*BERT JOHNSON

,,4703,11.8,ND,JACK VERHULST

,,1201,3.01,GP,JOHN COWLING

,,857,2.15,FCP,PAT BANNON

,,384,0.96,FR,ROBERT SMINK






PETERBOROUGH,6208,24626,44.74,L,JEFF LEAL

,,18418,33.46,PC,*GARY STEWART

,,9796,17.8,ND,DAVE NICKLE

,,1605,2.92,GP,TIM HOLLAND

,,414,0.75,FCP,MAX MURRAY

,,178,0.32,IND,BOB BOWERS






PICKERING-AJAX-UXBRIDGE,1010,24970,45.76,L,WAYNE ARTHURS

,,23960,43.91,PC,*JANET ECKER

,,3690,6.76,ND,VERN EDWARDS

,,1946,3.57,GP,ADAM DUNCAN






PRINCE EDWARD-HASTINGS,10137,22937,57.38,L,*ERNIE PARSONS

,,12800,32.02,PC,JOHN WILLIAMS

,,3377,8.45,ND,JODIE JENKINS

,,628,1.57,GP,JOE ROSS

,,229,0.57,FR,TRUEMAN TUCK






RENFREW-NIPISSING-PEMBROKE,645,19274,44.14,PC,JOHN YAKABUSKI

,,18629,42.66,L,DEREK NIGHBOR

,,5092,11.66,ND,FELICITE STAIRS

,,671,1.54,GP,CHRIS WALKER






SARNIA-LAMBTON,6327,18179,47.54,L,*CAROLINE DI COCCO

,,11852,30.99,PC,HENK VANDEN ENDE

,,6482,16.95,ND,GLENN SONIER

,,1414,3.7,GP,BRADLEY GRAY

,,316,0.83,FR,ANDREW K. FALBY






