Nova Scotia
61
Nova Scotia,,,Delton McDonald,Delton McDonald,Nova Scotia New Democratic Party,2797,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Josephine Kennedy,Josephine Kennedy,Nova Scotia Liberal Party,2212,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Mike Parsons,Mike Parsons,Green Party of Nova Scotia,143,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Chester-St. Margaret's,Chester-St. Margaret's,Judy Streatch,Judy Streatch,Progressive Conservative Association of Nova Scotia,2762,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Denise Peterson-Rafuse,Denise Peterson-Rafuse,Nova Scotia New Democratic Party,4835,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Jo-Ann Grant,Jo-Ann Grant,Nova Scotia Liberal Party,2122,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Ryan Cameron,Ryan Cameron,Green Party of Nova Scotia,335,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Clare,Clare,Jimmy Doucet,Jimmy Doucet,Progressive Conservative Association of Nova Scotia,459,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Paul Comeau,Paul Comeau,Nova Scotia New Democratic Party,1326,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Wayne Gaudet,Wayne Gaudet,Nova Scotia Liberal Party,3392,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Diane Doucet-Bean,Diane Doucet-Bean,Green Party of Nova Scotia,67,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Colchester-Musquodoboit Valley,Colchester-Musquodoboit Valley,Steve Streatch,Steve Streatch,Progressive Conservative Association of Nova Scotia,2265,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Gary Burrill,Gary Burrill,Nova Scotia New Democratic Party,3697,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Willy Versteeg,Willy Versteeg,Nova Scotia Liberal Party,1649,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Margaret Witney,Margaret Witney,Green Party of Nova Scotia,181,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Colchester North,Colchester North,Karen Casey,Karen Casey,Progressive Conservative Association of Nova Scotia,3811,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Arthur Hartlen,Arthur Hartlen,Nova Scotia New Democratic Party,2362,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Lorenda Ebbett,Lorenda Ebbett,Nova Scotia Liberal Party,1250,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Judy Davis,Judy Davis,Green Party of Nova Scotia,161,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Cole Harbour,Cole Harbour,Mike Josey,Mike Josey,Progressive Conservative Association of Nova Scotia,939,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Darrell E. Dexter,Darrell E. Dexter,Nova Scotia New Democratic Party,5849,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Tony Ince ,Tony Ince ,Nova Scotia Liberal Party,1509,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Dawna Toews,Dawna Toews,Green Party of Nova Scotia,202,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Cole Harbour-Eastern Passage,Cole Harbour-Eastern Passage,Lloyd Jackson,Lloyd Jackson,Progressive Conservative Association of Nova Scotia,1074,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Becky Kent,Becky Kent,Nova Scotia New Democratic Party,4402,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Orest Ulan,Orest Ulan,Nova Scotia Liberal Party,1054,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Denise Ménard ,Denise Ménard ,Green Party of Nova Scotia,225,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Cumberland North,Cumberland North,Keith Hunter,Keith Hunter,Progressive Conservative Association of Nova Scotia,1359,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Brian Skabar,Brian Skabar,Nova Scotia New Democratic Party,3170,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Brent Noiles,Brent Noiles,Nova Scotia Liberal Party,1073,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Aviva Silburt,Aviva Silburt,Green Party of Nova Scotia,127,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Ernest Fage,Ernest Fage,Independent,2159,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Cumberland South,Cumberland South,Murray Scott ,Murray Scott ,Progressive Conservative Association of Nova Scotia,4334,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Don Tabor,Don Tabor,Nova Scotia New Democratic Party,1659,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Joey Archibald,Joey Archibald,Nova Scotia Liberal Party,325,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Daniel Melvin,Daniel Melvin,Green Party of Nova Scotia,88,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Dartmouth East,Dartmouth East,Bert Thompson,Bert Thompson,Progressive Conservative Association of Nova Scotia,873,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Joan Massey,Joan Massey,Nova Scotia New Democratic Party,3908,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Andrew Younger,Andrew Younger,Nova Scotia Liberal Party,4133,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Anna Mukpo,Anna Mukpo,Green Party of Nova Scotia,184,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Dartmouth North,Dartmouth North,David Losey,David Losey,Progressive Conservative Association of Nova Scotia,568,,,,,,,,,,,,,,,,,,,,,,,,
