British Columbia
39
British Columbia,Abbotsford-Mission,Abbotsford-Mission,Randy Hawes,Randy Hawes,British Columbia Liberal Party,10371
British Columbia,,,Lynn Perrin,Lynn Perrin,New Democratic Party of British Columbia,5788
British Columbia,,,Bill Walsh,Bill Walsh,Green Party of British Columbia,1611
British Columbia,Abbotsford South,Abbotsford South,Daniel Stephen Bryce,Daniel Stephen Bryce,Green Party of British Columbia,1244
British Columbia,,,Gurcharan Dhaliwal,Gurcharan Dhaliwal,British Columbia Conservative Party,1019
British Columbia,,,Tim Lee Felger,Tim Lee Felger,Independent,334
British Columbia,,,Bonnie Jasiver Rai,Bonnie Jasiver Rai,New Democratic Party of British Columbia,4197
British Columbia,,,John van Dongen,John van Dongen,British Columbia Liberal Party,9566
British Columbia,Abbotsford West,Abbotsford West,Dalbir Benipal,Dalbir Benipal,British Columbia Conservative Party,1043
British Columbia,,,Michael G. de Jong,Michael G. de Jong,British Columbia Liberal Party,8992
British Columbia,,,Karen Marie Durant,Karen Marie Durant,Green Party of British Columbia,970
British Columbia,,,Taranjit Purewal,Taranjit Purewal,New Democratic Party of British Columbia,5106
British Columbia,Alberni-Pacific Rim,Alberni-Pacific Rim,Scott Kenneth Fraser,Scott Kenneth Fraser,New Democratic Party of British Columbia,10488
British Columbia,,,Dallas Kenneth Jack Hills,Dallas Kenneth Jack Hills,Western Refederation Party of British Columbia,250
British Columbia,,,Paul Musgrave,Paul Musgrave,Green Party of British Columbia,1324
British Columbia,,,Dianne St. Jacques,Dianne St. Jacques,British Columbia Liberal Party,5605
British Columbia,Boundary-Similkameen,Boundary-Similkameen,Joe Cardoso,Joe Cardoso,British Columbia Conservative Party,3596
British Columbia,,,Bob Grieve,Bob Grieve,Green Party of British Columbia,1691
British Columbia,,,Lakhvinder Jhaj,Lakhvinder Jhaj,New Democratic Party of British Columbia,5870
British Columbia,,,John Slater,John Slater,British Columbia Liberal Party,6681
British Columbia,Burnaby-Deer Lake,Burnaby-Deer Lake,Kathy Corrigan,Kathy Corrigan,New Democratic Party of British Columbia,8103
British Columbia,,,G. Bruce Friesen,G. Bruce Friesen,Green Party of British Columbia,928
British Columbia,,,John Nuraney,John Nuraney,British Columbia Liberal Party,7591
British Columbia,Burnaby-Edmonds,Burnaby-Edmonds,Dan Cancade,Dan Cancade,British Columbia Libertarian Party,493
British Columbia,,,Raj Chouhan,Raj Chouhan,New Democratic Party of British Columbia,8647
British Columbia,,,Carrie McLaren,Carrie McLaren,Green Party of British Columbia,1122
British Columbia,,,Lee Alexander Rankin,Lee Alexander Rankin,British Columbia Liberal Party,6385
British Columbia,Burnaby-Lougheed,Burnaby-Lougheed,Harry Bloy,Harry Bloy,British Columbia Liberal Party,9207
British Columbia,,,Helen H. S. Chang,Helen H. S. Chang,Green Party of British Columbia,1285
British Columbia,,,Jaynie Clark,Jaynie Clark,New Democratic Party of British Columbia,8511
British Columbia,Burnaby North,Burnaby North,Richard T. Lee,Richard T. Lee,British Columbia Liberal Party,9880
British Columbia,,,Doug Perry,Doug Perry,Green Party of British Columbia,1292
British Columbia,,,Mondee Redman,Mondee Redman,New Democratic Party of British Columbia,9332
British Columbia,Cariboo-Chilcotin,Cariboo-Chilcotin,Donna Barnett,Donna Barnett,British Columbia Liberal Party,6259
British Columbia,,,Elli Taylor,Elli Taylor,Green Party of British Columbia,650
British Columbia,,,Charlie Wyse,Charlie Wyse,New Democratic Party of British Columbia,6171
British Columbia,Cariboo North,Cariboo North,Bruce Ernst,Bruce Ernst,British Columbia Liberal Party,6501
British Columbia,,,Douglas Gook,Douglas Gook,Green Party of British Columbia,643
British Columbia,,,Bob Simpson,Bob Simpson,New Democratic Party of British Columbia,7004
British Columbia,Chilliwack,Chilliwack,Benjamin Besler,Benjamin Besler,British Columbia Conservative Party,2672
British Columbia,,,Mason Goulden,Mason Goulden,New Democratic Party of British Columbia,5908
British Columbia,,,John Les,John Les,British Columbia Liberal Party,8138
British Columbia,,,Fraea Bolding,Fraea Bolding,Green Party of British Columbia,1523
British Columbia,Chilliwack-Hope,Chilliwack-Hope,Guy Durnin,Guy Durnin,Green Party of British Columbia,951
British Columbia,,,Hans Mulder,Hans Mulder,British Columbia Conservative Party,1198
British Columbia,,,Dorothy-Jean O'Donnell,Dorothy-Jean O'Donnell,People’s Front,93
British Columbia,,,Gwen O'Mahony,Gwen O'Mahony,New Democratic Party of British Columbia,5638
British Columbia,,,Barry Penner,Barry Penner,British Columbia Liberal Party,8985
British Columbia,Columbia River-Revelstoke,Columbia River-Revelstoke,Norm Macdonald,Norm Macdonald,New Democratic Party of British Columbia,7419
British Columbia,,,Mark McKee,Mark McKee,British Columbia Liberal Party,5093
British Columbia,,,Sarah Svensson,Sarah Svensson,Green Party of British Columbia,907
British Columbia,Comox Valley,Comox Valley,Paula Berard,Paula Berard,Western Refederation Party of British Columbia,266
British Columbia,,,Barbara Biley,Barbara Biley,People’s Front,120
British Columbia,,,Hazel Lennox,Hazel Lennox,Green Party of British Columbia,2577
British Columbia,,,Leslie McNabb,Leslie McNabb,New Democratic Party of British Columbia,12508
British Columbia,,,Don McRae,Don McRae,British Columbia Liberal Party,13886
British Columbia,Coquitlam-Burke Mountain,Coquitlam-Burke Mountain,Jared Evans,Jared Evans,Green Party of British Columbia,907
British Columbia,,,Paul Geddes,Paul Geddes,British Columbia Libertarian Party,266
British Columbia,,,Douglas Horne,Douglas Horne,British Columbia Liberal Party,8644
British Columbia,,,Heather McRitchie,Heather McRitchie,New Democratic Party of British Columbia,5393
British Columbia,Coquitlam-Maillardville,Coquitlam-Maillardville,Dennis John Marsden,Dennis John Marsden,British Columbia Liberal Party,9145
British Columbia,,,Stephen Reid,Stephen Reid,Green Party of British Columbia,1040
British Columbia,,,Doug Stead,Doug Stead,Independent,481
British Columbia,,,Diane Thorne,Diane Thorne,New Democratic Party of British Columbia,9818
British Columbia,Cowichan Valley,Cowichan Valley,Cathy Basskin,Cathy Basskin,British Columbia Liberal Party,9258
British Columbia,,,Simon Lindley,Simon Lindley,Green Party of British Columbia,3058
British Columbia,,,Michial Rupert Moore,Michial Rupert Moore,Western Refederation Party of British Columbia,139
British Columbia,,,Stewart Jason Murray,Stewart Jason Murray,British Columbia Conservative Party,924
British Columbia,,,Bill Routley,Bill Routley,New Democratic Party of British Columbia,12548
British Columbia,Delta North,Delta North,Guy Gentner,Guy Gentner,New Democratic Party of British Columbia,10381
British Columbia,,,Jeannie Lynn Kanakos,Jeannie Lynn Kanakos,British Columbia Liberal Party,8490
British Columbia,,,Matthew Laine,Matthew Laine,Green Party of British Columbia,938
British Columbia,,,Marc Cameron McPherson,Marc Cameron McPherson,British Columbia Conservative Party,756
British Columbia,Delta South,Delta South,Dileep Joseph Anthony Athaide,Dileep Joseph Anthony Athaide,New Democratic Party of British Columbia,2940
British Columbia,,,Vicki Huntington,Vicki Huntington,Independent,9977
British Columbia,,,Duane Laird,Duane Laird,Green Party of British Columbia,555
British Columbia,,,Wally Oppal,Wally Oppal,British Columbia Liberal Party,9945
British Columbia,,,John William Shavluk,John William Shavluk,Independent,60
British Columbia,Esquimalt-Royal Roads,Esquimalt-Royal Roads,Maurine Karagianis,Maurine Karagianis,New Democratic Party of British Columbia,11514
British Columbia,,,Carl Edward Ratsoy,Carl Edward Ratsoy,British Columbia Liberal Party,6579
British Columbia,,,Jane Sterk,Jane Sterk,Green Party of British Columbia,3664
British Columbia,Fort Langley-Aldergrove,Fort Langley-Aldergrove,Jordan Braun,Jordan Braun,Western Refederation Party of British Columbia,387
British Columbia,,,Gail Ruth Chaddock-Costello,Gail Ruth Chaddock-Costello,New Democratic Party of British Columbia,7492
British Columbia,,,Rich Coleman,Rich Coleman,British Columbia Liberal Party,15139
British Columbia,,,Travis Erbacher,Travis Erbacher,Green Party of British Columbia,1765
British Columbia,Fraser-Nicola,Fraser-Nicola,Dian Joan Brooks,Dian Joan Brooks,Western Refederation Party of British Columbia,223
British Columbia,,,Ella Brown,Ella Brown,British Columbia Liberal Party,5830
British Columbia,,,Harry Lali,Harry Lali,New Democratic Party of British Columbia,6703
British Columbia,,,Desiree Maher-Schley,Desiree Maher-Schley,Green Party of British Columbia,891
British Columbia,Juan de Fuca,Juan de Fuca,John Horgan,John Horgan,New Democratic Party of British Columbia,11520
British Columbia,,,James Robert Powell,James Robert Powell,Green Party of British Columbia,1749
British Columbia,,,Jody Twa,Jody Twa,British Columbia Liberal Party,6866
British Columbia,Kamloops-North Thompson,Kamloops-North Thompson,Kesten C. Broughton,Kesten C. Broughton,Work Less Party of British Columbia,124
British Columbia,,,Doug Brown,Doug Brown,New Democratic Party of British Columbia,9320
British Columbia,,,Terry Lake,Terry Lake,British Columbia Liberal Party,9830
British Columbia,,,Wayne Allen Russell,Wayne Allen Russell,Western Refederation Party of British Columbia,251
British Columbia,,,April Snowe,April Snowe,Green Party of British Columbia,1418
British Columbia,Kamloops-South Thompson,Kamloops-South Thompson,Maria Dobi,Maria Dobi,British Columbia Conservative Party,1090
British Columbia,,,Tom Friedman,Tom Friedman,New Democratic Party of British Columbia,8132
British Columbia,,,Kevin Krueger,Kevin Krueger,British Columbia Liberal Party,12548
British Columbia,,,Bev Markle,Bev Markle,Green Party of British Columbia,1529
British Columbia,Kelowna-Lake Country,Kelowna-Lake Country,Alan Clarke,Alan Clarke,Independent,571
British Columbia,,,Ryan Fugger,Ryan Fugger,Green Party of British Columbia,1375
British Columbia,,,Mary-Ann Graham,Mary-Ann Graham,British Columbia Conservative Party,2253
British Columbia,,,Norm Letnick,Norm Letnick,British Columbia Liberal Party,10281
British Columbia,,,Matthew Reed,Matthew Reed,New Democratic Party of British Columbia,5250
British Columbia,Kelowna-Mission,Kelowna-Mission,Tisha Kalmanovitch,Tisha Kalmanovitch,New Democratic Party of British Columbia,5566
British Columbia,,,Silverado Brooks Socrates,Silverado Brooks Socrates,Independent,130
British Columbia,,,Mark Thompson,Mark Thompson,British Columbia Conservative Party,2531
British Columbia,,,Steve Thomson,Steve Thomson,British Columbia Liberal Party,11506
British Columbia,,,Daniel Bonaventure Thorburn,Daniel Bonaventure Thorburn,Western Refederation Party of British Columbia,51
British Columbia,,,Crystal Wariach,Crystal Wariach,Green Party of British Columbia,1563
British Columbia,Kootenay East,Kootenay East,Bill Bennett,Bill Bennett,British Columbia Liberal Party,8404
British Columbia,,,Wilf Hanni,Wilf Hanni,British Columbia Conservative Party,1612
British Columbia,,,Troy Sebastian,Troy Sebastian,New Democratic Party of British Columbia,5844
British Columbia,,,Jennifer Tsuida,Jennifer Tsuida,Green Party of British Columbia,549
British Columbia,Kootenay West,Kootenay West,Brenda Binnie,Brenda Binnie,British Columbia Liberal Party,4072
British Columbia,,,Katrine Conroy,Katrine Conroy,New Democratic Party of British Columbia,12126
British Columbia,,,Zachary Eric Crispin,Zachary Eric Crispin,Communist Party of British Columbia,204
British Columbia,,,Andy Morel,Andy Morel,Green Party of British Columbia,1791
British Columbia,Langley,Langley,Ron Abgrall,Ron Abgrall,Green Party of British Columbia,1793
British Columbia,,,Mary Polak,Mary Polak,British Columbia Liberal Party,13282
British Columbia,,,Kathleen Stephany,Kathleen Stephany,New Democratic Party of British Columbia,8411
British Columbia,Maple Ridge-Mission,Maple Ridge-Mission,Mike Bocking,Mike Bocking,New Democratic Party of British Columbia,8734
British Columbia,,,Marc H. J. Dalton,Marc H. J. Dalton,British Columbia Liberal Party,8802
British Columbia,,,Mike Gildersleeve,Mike Gildersleeve,Green Party of British Columbia,1387
British Columbia,,,Ian Anthony Vaughan,Ian Anthony Vaughan,Reform Party of British Columbia,325
British Columbia,Maple Ridge-Pitt Meadows,Maple Ridge-Pitt Meadows,Jay Ariken,Jay Ariken,Western Refederation Party of British Columbia,140
British Columbia,,,Robert Hornsey,Robert Hornsey,Green Party of British Columbia,1149
British Columbia,,,Chum Richardson,Chum Richardson,Independent,202
British Columbia,,,Michael Sather,Michael Sather,New Democratic Party of British Columbia,9772
British Columbia,,,Ken Stewart,Ken Stewart,British Columbia Liberal Party,9498
British Columbia,Nanaimo,Nanaimo,Dirk Becker,Dirk Becker,Green Party of British Columbia,2035
British Columbia,,,Leonard Krog,Leonard Krog,New Democratic Party of British Columbia,11878
British Columbia,,,Jeet Manhas,Jeet Manhas,British Columbia Liberal Party,8086
British Columbia,,,Linden Robert Shaw,Linden Robert Shaw,Western Refederation Party of British Columbia,272
British Columbia,Nanaimo-North Cowichan,Nanaimo-North Cowichan,Ronald James Fuson,Ronald James Fuson,Western Refederation Party of British Columbia,271
British Columbia,,,Ian Elliott Gartshore,Ian Elliott Gartshore,Green Party of British Columbia,2135
British Columbia,,,Rob Hutchins,Rob Hutchins,British Columbia Liberal Party,8426
British Columbia,,,Doug Routley,Doug Routley,New Democratic Party of British Columbia,12888
British Columbia,Nechako Lakes,Nechako Lakes,Byron Robert Goerz,Byron Robert Goerz,New Democratic Party of British Columbia,3133
British Columbia,,,Gerard Michael Riley,Gerard Michael Riley,Green Party of British Columbia,559
British Columbia,,,John Rustad,John Rustad,British Columbia Liberal Party,4949
British Columbia,,,Mike Summers,Mike Summers,Western Refederation Party of British Columbia,235
British Columbia,Nelson-Creston,Nelson-Creston,David Duncan,David Duncan,British Columbia Conservative Party,1083
British Columbia,,,Sean McGeorge Kubara,Sean McGeorge Kubara,Green Party of British Columbia,1189
British Columbia,,,Michelle Mungall,Michelle Mungall,New Democratic Party of British Columbia,9060
British Columbia,,,Josh Smienk,Josh Smienk,British Columbia Liberal Party,5191
British Columbia,New Westminster,New Westminster,Dawn Black,Dawn Black,New Democratic Party of British Columbia,13418
British Columbia,,,Matthew Laird,Matthew Laird,Green Party of British Columbia,2151
British Columbia,,,Carole Dorothy Millar,Carole Dorothy Millar,British Columbia Liberal Party,8240
British Columbia,North Coast,North Coast,Gary Coons,Gary Coons,New Democratic Party of British Columbia,5097
British Columbia,,,Lisa Girbav,Lisa Girbav,Green Party of British Columbia,683
British Columbia,,,Herb Pond,Herb Pond,British Columbia Liberal Party,3110
British Columbia,North Island,North Island,William Walter Mewhort,William Walter Mewhort,Independent,333
British Columbia,,,Philip Stone,Philip Stone,Green Party of British Columbia,1670
British Columbia,,,Claire Felicity Trevena,Claire Felicity Trevena,New Democratic Party of British Columbia,11865
British Columbia,,,Marion Wright,Marion Wright,British Columbia Liberal Party,8937
British Columbia,North Vancouver-Lonsdale,North Vancouver-Lonsdale,Michelle Corcos,Michelle Corcos,Green Party of British Columbia,1791
British Columbia,,,Ron K. Gamble,Ron K. Gamble,Reform Party of British Columbia,232
British Columbia,,,Janice Harris,Janice Harris,New Democratic Party of British Columbia,7789
British Columbia,,,Ian McLeod,Ian McLeod,British Columbia Conservative Party,862
British Columbia,,,Naomi Yamamoto,Naomi Yamamoto,British Columbia Liberal Party,10323
British Columbia,North Vancouver-Seymour,North Vancouver-Seymour,Gary Bickling Hee,Gary Bickling Hee,British Columbia Conservative Party,931
British Columbia,,,Mo Norton,Mo Norton,New Democratic Party of British Columbia,6212
British Columbia,,,Daniel Quinn,Daniel Quinn,Green Party of British Columbia,2116
British Columbia,,,Jane Ann Thornthwaite,Jane Ann Thornthwaite,British Columbia Liberal Party,13426
British Columbia,Oak Bay-Gordon Head,Oak Bay-Gordon Head,Ida Chong,Ida Chong,British Columbia Liberal Party,11877
British Columbia,,,Steven Johns,Steven Johns,Green Party of British Columbia,2330
British Columbia,,,Jessica Van der Veen,Jessica Van der Veen,New Democratic Party of British Columbia,11316
British Columbia,Parksville-Qualicum,Parksville-Qualicum,Ron Cantelon,Ron Cantelon,British Columbia Liberal Party,13716
British Columbia,,,Wayne Osborne,Wayne Osborne,Green Party of British Columbia,2573
British Columbia,,,Bruce Ryder,Bruce Ryder,Western Refederation Party of British Columbia,251
British Columbia,,,Leanne Salter,Leanne Salter,New Democratic Party of British Columbia,10136
British Columbia,Peace River North,Peace River North,Jackie Allen,Jackie Allen,New Democratic Party of British Columbia,1293
British Columbia,,,Suzanne Arntson,Suzanne Arntson,Western Refederation Party of British Columbia,58
British Columbia,,,Arthur A. Hadland,Arthur A. Hadland,Independent,2899
British Columbia,,,Liz Logan,Liz Logan,Green Party of British Columbia,1010
British Columbia,,,Pat Pimm,Pat Pimm,British Columbia Liberal Party,3992
British Columbia,Peace River South,Peace River South,Grant Fraser,Grant Fraser,Green Party of British Columbia,533
British Columbia,,,Blair Morgan Lekstrom,Blair Morgan Lekstrom,British Columbia Liberal Party,4801
British Columbia,,,Pat Shaw,Pat Shaw,New Democratic Party of British Columbia,2057
British Columbia,,,Donna Young,Donna Young,Independent,220
British Columbia,Penticton,Penticton,Bill Barisoff,Bill Barisoff,British Columbia Liberal Party,10346
British Columbia,,,Julius Robert Bloomfield,Julius Robert Bloomfield,Green Party of British Columbia,3685
British Columbia,,,Chris Delaney,Chris Delaney,British Columbia Conservative Party,2095
British Columbia,,,Wendy Dion,Wendy Dion,Western Refederation Party of British Columbia,78
British Columbia,,,Cameron Phillips,Cameron Phillips,New Democratic Party of British Columbia,7331
British Columbia,Port Coquitlam,Port Coquitlam,Cole Bertsch,Cole Bertsch,Green Party of British Columbia,994
British Columbia,,,Lewis Clarke Dahlby,Lewis Clarke Dahlby,British Columbia Libertarian Party,178
British Columbia,,,Mike Farnworth,Mike Farnworth,New Democratic Party of British Columbia,11121
British Columbia,,,Bernie Christoph Hiller,Bernie Christoph Hiller,British Columbia Liberal Party,7896
British Columbia,,,Brent Williams,Brent Williams,Your Political Party of British Columbia,137
British Columbia,Port Moody-Coquitlam,Port Moody-Coquitlam,Iain Black,Iain Black,British Columbia Liberal Party,9979
British Columbia,,,James Filippelli,James Filippelli,Your Political Party of British Columbia,198
British Columbia,,,Rebecca Helps,Rebecca Helps,Green Party of British Columbia,1261
British Columbia,,,Donna Vandekerkhove,Donna Vandekerkhove,Western Refederation Party of British Columbia,82
British Columbia,,,Shannon Watkins,Shannon Watkins,New Democratic Party of British Columbia,7614
British Columbia,Powell River-Sunshine Coast,Powell River-Sunshine Coast,Jeff Chilton,Jeff Chilton,Green Party of British Columbia,1436
British Columbia,,,Allen McIntyre,Allen McIntyre,Western Refederation Party of British Columbia,249
British Columbia,,,Dawn Miller,Dawn Miller,British Columbia Liberal Party,7818
British Columbia,,,Nicholas Simons,Nicholas Simons,New Democratic Party of British Columbia,13276
British Columbia,Prince George-Mackenzie,Prince George-Mackenzie,Pat Bell,Pat Bell,British Columbia Liberal Party,9816
British Columbia,,,Kevin Creamore,Kevin Creamore,Green Party of British Columbia,1245
British Columbia,,,Tobias Lawrence,Tobias Lawrence,New Democratic Party of British Columbia,6452
British Columbia,Prince George-Valemount,Prince George-Valemount,Shirley Bond,Shirley Bond,British Columbia Liberal Party,9072
British Columbia,,,Julie Carew,Julie Carew,New Democratic Party of British Columbia,6737
British Columbia,,,Andrej Joseph DeWolf,Andrej Joseph DeWolf,Green Party of British Columbia,1225
British Columbia,,,Gordon Wilfred Dickie,Gordon Wilfred Dickie,British Columbia Conservative Party,780
British Columbia,,,Don Roberts,Don Roberts,Western Refederation Party of British Columbia,113
British Columbia,Richmond Centre,Richmond Centre,Kam Brar,Kam Brar,New Democratic Party of British Columbia,4949
British Columbia,,,Kang Chen,Kang Chen,Nation Alliance Party,399
British Columbia,,,Rob Howard,Rob Howard,British Columbia Liberal Party,10483
British Columbia,,,Michael Wolfe,Michael Wolfe,Green Party of British Columbia,1213
British Columbia,Richmond East,Richmond East,Wei Ping Chen,Wei Ping Chen,Nation Alliance Party,419
British Columbia,,,Shawkat Ali Hasan,Shawkat Ali Hasan,New Democratic Party of British Columbia,5998
British Columbia,,,Stephen Rees,Stephen Rees,Green Party of British Columbia,1211
British Columbia,,,Linda Reid,Linda Reid,British Columbia Liberal Party,10853
British Columbia,Richmond-Steveston,Richmond-Steveston,Barry Edward Chilton,Barry Edward Chilton,British Columbia Conservative Party,1082
British Columbia,,,Jeff Hill,Jeff Hill,Green Party of British Columbia,1491
British Columbia,,,Sue Wallis,Sue Wallis,New Democratic Party of British Columbia,5925
British Columbia,,,John Yap,John Yap,British Columbia Liberal Party,13168
British Columbia,Saanich North and the Islands,Saanich North and the Islands,Tom Bradfield,Tom Bradfield,Green Party of British Columbia,3223
British Columbia,,,Murray Robert Coell,Murray Robert Coell,British Columbia Liberal Party,13136
British Columbia,,,Gary Holman,Gary Holman,New Democratic Party of British Columbia,12878
British Columbia,Saanich South,Saanich South,Robin Adair,Robin Adair,British Columbia Liberal Party,11215
British Columbia,,,Douglas Christie,Douglas Christie,Western Canada Concept Party of British Columbia,235
British Columbia,,,Brian Geoffrey Gordon,Brian Geoffrey Gordon,Green Party of British Columbia,1664
British Columbia,,,Lana Popham,Lana Popham,New Democratic Party of British Columbia,11697
British Columbia,Shuswap,Shuswap,George Malcolm Abbott,George Malcolm Abbott,British Columbia Liberal Party,10764
British Columbia,,,Chris Charles Emery,Chris Charles Emery,British Columbia Marijuana Party,361
British Columbia,,,Steve Gunner,Steve Gunner,New Democratic Party of British Columbia,705
British Columbia,,,Beryl Alberta Ludwig,Beryl Alberta Ludwig,British Columbia Conservative Party,2374
British Columbia,,,Michel Saab,Michel Saab,Green Party of British Columbia,2539
British Columbia,Skeena,Skeena,Robin Austin,Robin Austin,New Democratic Party of British Columbia,5865
British Columbia,,,Mike Brousseau,Mike Brousseau,British Columbia Conservative Party,893
British Columbia,,,Anita Norman,Anita Norman,Green Party of British Columbia,467
British Columbia,,,Donny van Dyk,Donny van Dyk,British Columbia Liberal Party,4328
British Columbia,Stikine,Stikine,Roger Benham,Roger Benham,Green Party of British Columbia,375
British Columbia,,,Doug Donaldson,Doug Donaldson,New Democratic Party of British Columbia,4274
British Columbia,,,Scott Groves,Scott Groves,British Columbia Liberal Party,3829
British Columbia,Surrey-Cloverdale,Surrey-Cloverdale,Kevin Falcon,Kevin Falcon,British Columbia Liberal Party,13815
